"STATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","2015-05-21","9.62","0.00","0.0","57","67","45",,,,,,,,
"USW00014739","2015-05-22","12.97","0.00","0.0","62","76","52",,,,,,,,
"USW00014739","2015-05-23","13.20","0.00","0.0","56","65","44",,,,,,,,
"USW00014739","2015-05-24","15.66","0.00","0.0","65","83","51",,,,,,,,
"USW00014739","2015-05-25","10.74","0.00","0.0","70","81","58",,,,,,,,
"USW00014739","2015-05-26","16.33","0.00","0.0","73","87","64",,,,,,,,
"USW00014739","2015-05-27","16.11","0.00","0.0","74","85","65",,,,,,,,
"USW00014739","2015-05-28","13.20","0.00","0.0","74","86","64",,,,,,,,
"USW00014739","2015-05-29","8.05","0.00","0.0","67","72","55","    1","    1",,,,,,
"USW00014739","2015-05-30","14.54","0.00","0.0","69","88","58",,,,,,,,
"USW00014739","2015-05-31","13.87","0.91","0.0","67","77","48","    1",,,,,,,
"USW00014739","2015-06-01","13.65","0.38","0.0","48","49","47","    1",,,,,,,
"USW00014739","2015-06-02","11.18","0.74","0.0","47","49","46","    1",,,,,,,
"USW00014739","2015-06-03","6.93","0.00","0.0","50","56","47",,,,,,,,
"USW00014739","2015-06-04","6.26","0.00","0.0","52","58","49",,,,,,,"    1",
"USW00014739","2015-06-05","7.61","0.00","0.0","54","59","50",,,,,,,,
"USW00014739","2015-06-06","6.93","0.09","0.0","58","67","52","    1",,,,,,,
"USW00014739","2015-06-07","10.74","0.00","0.0","59","67","53",,,,,,,,
"USW00014739","2015-06-08","16.55","0.00","0.0","63","76","53",,,,,,,,
"USW00014739","2015-06-09","13.20","0.00","0.0","69","78","64",,,,,,,,
"USW00014739","2015-06-10","10.96","0.00","0.0","71","82","62",,,,,,,,
"USW00014739","2015-06-11","13.65","0.00","0.0","75","88","64",,,,,,,,
"USW00014739","2015-06-12","8.95","0.00","0.0","74","79","65",,,,,,,,
"USW00014739","2015-06-13","8.50","0.00","0.0","73","85","64",,,,,,,,
"USW00014739","2015-06-14","9.62","0.00","0.0","70","74","62",,,,,,,,
"USW00014739","2015-06-15","9.17","0.40","0.0","58","63","54","    1",,,,,,,
"USW00014739","2015-06-16","4.70","0.00","0.0","59","71","56","    1",,,,,,,
"USW00014739","2015-06-17","9.84","0.00","0.0","66","69","59",,,,,,,,
"USW00014739","2015-06-18","10.29","0.00","0.0","65","76","57",,,,,,,,
"USW00014739","2015-06-19","9.62","0.00","0.0","69","86","63",,,,,,,,
"USW00014739","2015-06-20","9.17","0.04","0.0","65","75","58",,,,,,,,
"USW00014739","2015-06-21","6.04","1.72","0.0","66","76","60","    1",,,,,,,
"USW00014739","2015-06-22","5.82","0.00","0.0","66","77","61","    1","    1",,,,,,
"USW00014739","2015-06-23","11.41","0.01","0.0","72","88","60",,,,,,,,
"USW00014739","2015-06-24","11.18","0.00","0.0","76","84","67",,,,,,,,
"USW00014739","2015-06-25","7.16","0.00","0.0","73","81","64",,,,,,,,
"USW00014739","2015-06-26","8.50","0.00","0.0","68","72","59",,,,,,,,
"USW00014739","2015-06-27","7.16","0.20","0.0","63","68","57","    1",,,,,,,
"USW00014739","2015-06-28","17.90","1.43","0.0","59","59","52","    1",,,,,,,
"USW00014739","2015-06-29","6.93","0.00","0.0","60","75","53","    1",,,,,,,
"USW00014739","2015-06-30","6.93","0.00","0.0","68","75","60",,,,,,,,
"USW00014739","2015-07-01","11.18","0.54","0.0","69","82","62","    1",,"    1",,,,,
"USW00014739","2015-07-02","9.17","0.00","0.0","72","80","64",,,,,,,,
"USW00014739","2015-07-03","8.50","0.00","0.0","71","76","63",,,,,,,,
"USW00014739","2015-07-04","4.47","0.00","0.0","67","72","62",,,,,,,"    1",
"USW00014739","2015-07-05","8.05","0.00","0.0","71","83","61",,,,,,,,
"USW00014739","2015-07-06","7.16","0.00","0.0","75","80","68",,,,,,,,
"USW00014739","2015-07-07","10.51","0.02","0.0","74","84","65",,,,,,,,
"USW00014739","2015-07-08","11.18","0.00","0.0","79","88","69","    1",,,,,,,
"USW00014739","2015-07-09","8.05","0.15","0.0","69","69","63","    1",,,,,,,
"USW00014739","2015-07-10","7.61","1.12","0.0","67","77","60","    1",,,,,,,
"USW00014739","2015-07-11","8.50","0.00","0.0","75","83","68",,,,,,,,
"USW00014739","2015-07-12","8.95","0.00","0.0","80","89","72",,,,,,,,
"USW00014739","2015-07-13","6.49","0.00","0.0","75","77","67",,,,,,,,
"USW00014739","2015-07-14","8.05","0.03","0.0","71","82","65","    1",,,,,,"    1",
"USW00014739","2015-07-15","7.38","0.00","0.0","74","82","67","    1",,,,,,,
"USW00014739","2015-07-16","11.18","0.00","0.0","65","68","59",,,,,,,,
"USW00014739","2015-07-17","9.17","0.00","0.0","67","75","60",,,,,,,,
"USW00014739","2015-07-18","10.96","0.14","0.0","70","78","64","    1",,,,,,,
"USW00014739","2015-07-19","9.40","0.00","0.0","78","90","71",,,,,,,,
"USW00014739","2015-07-20","9.17","0.00","0.0","83","92","70",,,,,,,,
"USW00014739","2015-07-21","6.49","0.00","0.0","78","81","70",,,,,,,,
"USW00014739","2015-07-22","11.63","0.00","0.0","76","84","69",,,,,,,,
"USW00014739","2015-07-23","7.38","0.00","0.0","74","82","67",,,,,,,,
"USW00014739","2015-07-24","8.72","0.01","0.0","72","81","66",,,,,,,,
"USW00014739","2015-07-25","8.72","0.00","0.0","66","69","62",,,,,,,,
"USW00014739","2015-07-26","8.28","0.00","0.0","68","79","63",,,,,,,,
"USW00014739","2015-07-27","8.05","0.06","0.0","75","86","68",,,,,,,"    1",
"USW00014739","2015-07-28","8.05","0.00","0.0","75","86","70",,,,,,,,
"USW00014739","2015-07-29","7.38","0.00","0.0","80","92","71",,,,,,,,
"USW00014739","2015-07-30","14.32","0.02","0.0","83","91","74",,,,,,,,
"USW00014739","2015-07-31","11.18","0.00","0.0","80","89","73",,,,,,,,
"USW00014739","2015-08-01","10.51","0.00","0.0","79","90","68",,,,,,,,
"USW00014739","2015-08-02","11.41","0.00","0.0","78","88","68",,,,,,,,
